Step,Reward
1000,1000,,,,,,
1000,1000,,,,,,
1000,1000,,,,,,
2000,2000,,,,,,
3000,3000,,,,,,
4000,4000,,,,,,
5000,5000,,,,,,
6000,6000,,,,,,
7000,7000,,,,,,
8000,8000,,,,,,
9000,9000,,,,,,
10000,10000,,,,,,
11000,11000,,,,,,
12000,12000,,,,,,
13000,13000,,,,,,
14000,14000,,,,,,
15000,15000,,,,,,
1000,1000,,,,,,
2000,2000,,,,,,
1000,1000,,,,,,
2000,2000,,,,,,
1000,1000,,,,,,
2000,2000,,,,,,
1000,1000,,,,,,
2000,2000,,,,,,
1000,1000,,,,,,
1000,1000,,,,,,
2000,2000,,,,,,
1000,1000,,,,,,
2000,2000,,,,,,
3000,3000,,,,,,
4000,4000,,,,,,
5000,5000,,,,,,
6000,6000,,,,,,
7000,7000,,,,,,
8000,8000,,,,,,
9000,9000,,,,,,
10000,10000,,,,,,
11000,11000,,,,,,
12000,12000,,,,,,
13000,13000,,,,,,
14000,14000,,,,,,
15000,15000,,,,,,
1000,1000,,,,,,
2000,2000,,,,,,
3000,3000,,,,,,
4000,4000,,,,,,
5000,5000,,,,,,
1000,1000,,,,,,
